,Book-Title,total_ratings,sum_weighted_ratings,weighted_avg_rating
94716,Push,21,72,3.4285714285714284
84515,Night Watch,49,168,3.4285714285714284
63550,Jurassic Park,488,1673,3.42827868852459
23595,"City of Golden Shadow (Otherland, Volume 1)",54,185,3.425925925925926
37021,EVEN COWGIRLS GET THE BLUES,40,137,3.425
6616,Adventures of Tom Sawyer,40,137,3.425
156483,Wuthering Heights (Signet Classic),33,113,3.4242424242424243
39226,Emily of New Moon,33,113,3.4242424242424243
2719,A Heartbreaking Work of Staggering Genius,302,1034,3.423841059602649
21688,Celeste (Gemini),26,89,3.423076923076923
83358,Native Speaker,26,89,3.423076923076923
45551,Foundation and Earth,38,130,3.4210526315789473
68583,Leap of Faith,88,301,3.4204545454545454
71464,London Transports,50,171,3.42
48681,"Girl, Interrupted",262,896,3.4198473282442747
75127,Mammoth Hunters (Earth's Children),48,164,3.4166666666666665
93796,Princess Charming,24,82,3.4166666666666665
63208,Joy School (Ballantine Reader's Circle),48,164,3.4166666666666665
57318,Hunting Season (Anna Pigeon Novels (Paperback)),60,205,3.4166666666666665
144414,To Ride Pegasus,24,82,3.4166666666666665
123525,The Game,24,82,3.4166666666666665
43785,First Lady,41,140,3.4146341463414633
115322,The Awakening (Dover Thrift Editions),29,99,3.413793103448276
48298,Ghost Story,29,99,3.413793103448276
132568,The Pilot's Wife,116,396,3.413793103448276
22902,Chocolat,344,1174,3.4127906976744184
118162,The Cat Who Talked to Ghosts,63,215,3.4126984126984126
14393,Beloved (Plume Contemporary Fiction),180,614,3.411111111111111
83746,Never Cry Wolf,44,150,3.409090909090909
65685,L'Insoutenable Legerete de l'Etre,22,75,3.409090909090909
140853,The World Below (Ballantine Reader's Circle),44,150,3.409090909090909
121072,The Dive From Clausen's Pier (Alex Awards),120,409,3.408333333333333
64188,Kate Remembered,49,167,3.4081632653061225
47210,Galapagos,76,259,3.4078947368421053
70779,Little Girl Lost,27,92,3.4074074074074074
60213,Innocence,27,92,3.4074074074074074
17404,Book Club,59,201,3.406779661016949
60715,Into the Wilderness,32,109,3.40625
72072,Lord God Made Them All,32,109,3.40625
55283,Home Town,32,109,3.40625
140705,The Women of Brewster Place (Penguin Contemporary American Fiction Series),37,126,3.4054054054054053
110054,Street Dreams,42,143,3.4047619047619047
18076,Breakfast of Champions,84,286,3.4047619047619047
91955,Plains of Passage (Earth's Children),47,160,3.404255319148936
43302,Find Me,92,313,3.402173913043478
134390,The River King,112,381,3.4017857142857144
153690,Who's Afraid of Virginia Woolf?,25,85,3.4
144150,Tipping the Velvet,55,187,3.4
5158,A Walk to Remember,378,1285,3.3994708994708995
124897,The Handmaid's Tale,311,1057,3.3987138263665595
129063,The Mammoth Hunters (Earth's Children (Paperback)),78,265,3.3974358974358974
20485,Cane River (Oprah's Book Club (Paperback)),73,248,3.3972602739726026
88011,Open House (Oprah's Book Club (Paperback)),134,455,3.3955223880597014
91091,Pet Sematary,238,808,3.3949579831932772
22980,Chopping Spree,89,302,3.393258426966292
64461,Key of Knowledge (Key Trilogy (Paperback)),117,397,3.393162393162393
151400,Web of Dreams (Casteel),28,95,3.392857142857143
142862,Thinner,186,631,3.39247311827957
40907,Exodus,51,173,3.392156862745098
76316,"Mary, Called Magdalene",46,156,3.391304347826087
122521,The Family Tree,46,156,3.391304347826087
5290,A Wizard of Earthsea (Pelican Books),23,78,3.391304347826087
116884,The Bonesetter's Daughter,384,1302,3.390625
87464,One Door Away from Heaven,298,1010,3.389261744966443
112315,Tales from Watership Down,36,122,3.388888888888889
118126,The Cat Who Brought Down the House,75,254,3.3866666666666667
13482,Basket Case,119,403,3.3865546218487395
65818,L.A. Confidential,26,88,3.3846153846153846
89802,Paragon Walk,26,88,3.3846153846153846
118722,The Clan of the Cave Bear (Earth's Children (Paperback)),216,731,3.384259259259259
87216,On the Street Where You Live,201,680,3.383084577114428
29836,Daughter of the Forest (The Sevenwaters Trilogy),47,159,3.382978723404255
128907,The Magus,47,159,3.382978723404255
48664,Girl in Hyacinth Blue,225,761,3.382222222222222
68828,Legal Tender,55,186,3.381818181818182
124218,The Good Earth (Enriched Classics),55,186,3.381818181818182
21561,Caucasia,21,71,3.380952380952381
63607,Just Cause,21,71,3.380952380952381
17506,Book of Virtues,21,71,3.380952380952381
142922,Thirty Nothing,42,142,3.380952380952381
8654,American Tabloid,21,71,3.380952380952381
37018,ETHAN FROME,21,71,3.380952380952381
34709,Divided in Death,21,71,3.380952380952381
136267,The Skies of Pern,29,98,3.3793103448275863
102591,Seduction of Water (Ballantine Reader's Circle),29,98,3.3793103448275863
155245,With Nails the Film Diaries of Richard E,29,98,3.3793103448275863
132471,The Physician,37,125,3.3783783783783785
152658,When I Am an Old Woman I Shall Wear Purple,37,125,3.3783783783783785
115364,The BFG,83,280,3.3734939759036147
137403,The Survivors Club,110,371,3.3727272727272726
71432,Lolita,35,118,3.3714285714285714
114289,The Absence of Nectar,81,273,3.3703703703703702
144420,To Say Nothing of the Dog,76,256,3.3684210526315788
133593,The Quilter's Apprentice,49,165,3.36734693877551
139812,The Water Is Wide,49,165,3.36734693877551
49822,Gossip Hound,30,101,3.3666666666666667
82562,My Uncle Oswald,30,101,3.3666666666666667
140094,The Whipping Boy,30,101,3.3666666666666667
143326,Three Fates,202,680,3.366336633663366
1143,A Bend in the Road,346,1164,3.3641618497109826
151876,West With the Night,55,185,3.3636363636363638
156664,Year In Provence,33,111,3.3636363636363638
45298,Forever and Always,55,185,3.3636363636363638
110625,Summer Sisters,573,1926,3.3612565445026177
127511,The Last Promise,36,121,3.361111111111111
10695,Area 7,28,94,3.357142857142857
84236,Nice Girls Finish Last (Viking Mystery Suspense),28,94,3.357142857142857
40390,Eureka,28,94,3.357142857142857
93580,Prey,188,631,3.356382978723404
104372,Shopaholic Ties the Knot,160,537,3.35625
135177,The Screwtape Letters,62,208,3.3548387096774195
125997,The Idiot Girls' Action Adventure Club,113,379,3.353982300884956
21470,"Catherine, Called Birdy (Trophy Newbery)",65,218,3.353846153846154
137590,The Tale of the Body Thief (Vampire Chronicles (Paperback)),193,647,3.3523316062176165
16864,Bloodstream,54,181,3.3518518518518516
128676,The Lust Lizard of Melancholy Cove,91,305,3.3516483516483517
85894,Now You See Me,91,305,3.3516483516483517
120316,The Dark Half,219,734,3.3515981735159817
48148,Getting Over Jack Wagner,37,124,3.3513513513513513
115320,The Awakening,83,278,3.3493975903614457
122559,The Far Pavilions,43,144,3.3488372093023258
16669,"Blood Meridian, Or, the Evening Redness in the West",23,77,3.347826086956522
144555,To the Nines (A Stephanie Plum Novel),46,154,3.347826086956522
94286,Proof,46,154,3.347826086956522
109174,Step-Ball-Change,46,154,3.347826086956522
140993,The Worthing Saga,23,77,3.347826086956522
115670,The Beach House,435,1456,3.3471264367816094
39257,Emma (Penguin Popular Classics),49,164,3.3469387755102042
41457,FROM POTTER'S FIELD,75,251,3.3466666666666667
58434,Icy Sparks,309,1034,3.3462783171521036
48897,Glory in Death,52,174,3.3461538461538463
102666,Seeing a Large Cat (Amelia Peabody Mysteries (Paperback)),26,87,3.3461538461538463
147195,U.S.S. Seawolf,29,97,3.3448275862068964
16447,Bleachers,189,632,3.3439153439153437
87513,One Hit Wonderland,32,107,3.34375
58903,"Ilse Witch (The Voyage of the Jerle Shannara, Book 1)",32,107,3.34375
93181,Practical Demonkeeping,70,234,3.342857142857143
2464,A Gesture Life,38,127,3.3421052631578947
85549,Norwegian Wood (Vintage International Original),38,127,3.3421052631578947
69103,Les Miserables,44,147,3.340909090909091
83568,Needful Things,179,598,3.340782122905028
55048,Holes,50,167,3.34
3041,A Lesson Before Dying (Vintage Contemporaries (Paperback)),192,641,3.3385416666666665
93822,"Princess in the Spotlight (The Princess Diaries, Vol. 2)",71,237,3.3380281690140845
136095,The Silmarillion,140,467,3.335714285714286
96861,Regenroman.,21,70,3.3333333333333335
93648,Priestess of Avalon,30,100,3.3333333333333335
129778,The Millionaires,114,380,3.3333333333333335
105776,Sleep No More,111,370,3.3333333333333335
118154,The Cat Who Saw Stars,33,110,3.3333333333333335
85648,Not Without My Daughter,60,200,3.3333333333333335
150406,"Wake Up, I'm Fat!",27,90,3.3333333333333335
91967,Plan of Attack,24,80,3.3333333333333335
77645,Meridian,42,140,3.3333333333333335
10975,"Artemis Fowl (Artemis Fowl, Book 1)",248,826,3.3306451612903225
118171,The Cat Who Went to Heaven,55,183,3.327272727272727
49196,Gods and Generals,46,153,3.3260869565217392
78393,Milkrun,80,266,3.325
82369,My Name Is Asher Lev,40,133,3.325
94989,Quentins,185,615,3.324324324324324
74095,MY STORY,34,113,3.323529411764706
67197,Lady Sophia's Lover,34,113,3.323529411764706
30345,Dead Until Dark (Southern Vampire Mysteries),65,216,3.3230769230769233
156666,Year Zero,25,83,3.32
33674,Die Puppenspieler,25,83,3.32
143474,Thrill,22,73,3.3181818181818183
127383,The Last Detective,22,73,3.3181818181818183
39101,Ember from the Sun,22,73,3.3181818181818183
45056,For Whome the Bell Tolls  (REISSUE) (A Scribner Classic),22,73,3.3181818181818183
59130,Improper English,22,73,3.3181818181818183
138200,The Tin Princess,22,73,3.3181818181818183
118876,The Cold One,22,73,3.3181818181818183
115782,The Beekeeper's Apprentice,85,282,3.3176470588235296
115699,The Bear and the Dragon,57,189,3.3157894736842106
58700,If on a Winter's Night a Traveler,38,126,3.3157894736842106
95481,Rachel's Holiday,89,295,3.3146067415730336
146882,Twilight Hunger,35,116,3.3142857142857145
117812,"The Canterbury Tales, in Modern English",32,106,3.3125
130197,The Moviegoer,32,106,3.3125
6873,Again The Magic,32,106,3.3125
18172,Breathing Room (Avon Romance),45,149,3.311111111111111
97565,Reunion in Death,90,298,3.311111111111111
11571,Atlantis Found,107,354,3.308411214953271
113970,Thank You for Smoking,26,86,3.3076923076923075
66174,LONESOME DOVE  M,26,86,3.3076923076923075
46447,From Potter's Field,231,764,3.3073593073593073
156610,YOU BELONG TO ME,62,205,3.306451612903226
56400,How to Be Good,304,1005,3.3059210526315788
109194,Stephen Coonts' Deep Black (Deep Black),36,119,3.3055555555555554
125783,The House of the Spirits,180,595,3.3055555555555554
109209,Stephen King's Danse Macabre,36,119,3.3055555555555554
116450,The Bird Artist,36,119,3.3055555555555554
15927,Birthright,128,423,3.3046875
122294,The Eye of the Tiger,23,76,3.3043478260869565
35340,Dona Flor and Her Two Husbands,23,76,3.3043478260869565
127743,"The Legend of Luke (Redwall, Book 12)",23,76,3.3043478260869565
138421,The Traveling Vampire Show,23,76,3.3043478260869565
24429,Cold Mountain,194,641,3.304123711340206
19465,By the Light of the Moon,171,565,3.304093567251462
46489,From a Buick 8,89,294,3.303370786516854
120643,The Deep Blue Good-By,33,109,3.303030303030303
45839,Frankenstein (Changing Our World),66,218,3.303030303030303
17348,Bones,43,142,3.302325581395349
91959,Plainsong (Vintage Contemporaries),156,515,3.301282051282051
117805,The Canterbury Tales (Bantam Classics),30,99,3.3
39261,Emma (Wordsworth Classics),40,132,3.3
61285,Isabel's Bed,47,155,3.297872340425532
61069,Irish Chain (Benni Harper Mysteries (Paperback)),27,89,3.2962962962962963
128152,The Little Mermaid,27,89,3.2962962962962963
87489,One Flew over the Cuckoo's Nest,34,112,3.2941176470588234
126780,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),58,191,3.293103448275862
120325,The Dark Is Rising,41,135,3.292682926829268
43095,Fifth business,24,79,3.2916666666666665
13759,Bearing an Hourglass (Incarnations of Immortality (Paperback)),55,181,3.290909090909091
132023,The Partner,478,1573,3.290794979079498
118841,The Cobra Event,100,329,3.29
119630,The Conquest,45,148,3.2888888888888888
110730,Sun Also Rises,73,240,3.287671232876712
124048,The God of Small Things,289,950,3.28719723183391
110667,Summer of My German Soldier,21,69,3.2857142857142856
21957,Chang and Eng,35,115,3.2857142857142856
36134,Drawing Blood,28,92,3.2857142857142856
28452,Damia (Ace Science Fiction),28,92,3.2857142857142856
76147,Martian Chronicles,28,92,3.2857142857142856
16477,Bless the Child,21,69,3.2857142857142856
50527,Greenwitch,49,161,3.2857142857142856
4485,A Song Flung Up to Heaven,21,69,3.2857142857142856
128333,The Long Dark Tea-Time of the Soul,21,69,3.2857142857142856
54403,High Society,49,161,3.2857142857142856
128934,The Main Corpse (Culinary Mysteries (Paperback)),67,220,3.283582089552239
73027,Love in the Time of Cholera,78,256,3.282051282051282
115233,The Association,32,105,3.28125
8649,American Star,32,105,3.28125
140575,The Witching Hour (Lives of the Mayfair Witches),274,899,3.281021897810219
125560,The Honk and Holler Opening Soon,164,538,3.2804878048780486
4335,A Share in Death,25,82,3.28
133790,The Rapture of Canaan (Oprah's Book Club (Hardcover)),25,82,3.28
22949,Choke,165,541,3.278787878787879
127173,The Ladies Auxiliary (Ballantine Reader's Circle),61,200,3.278688524590164
109322,Still Life with Woodpecker,79,259,3.278481012658228
91271,Phantoms,162,531,3.2777777777777777
69603,Letters from a Nut,72,236,3.2777777777777777
120510,The Dead Zone,134,439,3.2761194029850746
139450,The Virgin Blue,134,439,3.2761194029850746
144967,Too Much Temptation,29,95,3.2758620689655173
87850,One-Hit Wonder,29,95,3.2758620689655173
132039,The Passion,69,226,3.2753623188405796
9741,Angry Housewives Eating Bon Bons (Ballantine Reader's Circle),69,226,3.2753623188405796
37591,Eden Close,84,275,3.2738095238095237
83707,Neuromancer (Remembering Tomorrow),179,586,3.2737430167597767
91667,Pigs in Heaven,249,815,3.2730923694779115
117182,"The Boxcar Children (Boxcar Children, No 1)",33,108,3.272727272727273
115368,The BIBLE CODE,22,72,3.272727272727273
130241,The Murder Room,22,72,3.272727272727273
50976,Guilty Feet,22,72,3.272727272727273
95304,REMEMBER ME (REMEMBER ME),22,72,3.272727272727273
28546,Dance upon the Air (Three Sisters Island Trilogy),258,844,3.2713178294573644
696,2nd Chance,356,1164,3.269662921348315
59696,In the Fall (Vintage Contemporaries (Paperback)),26,85,3.269230769230769
103485,Shadow Dance,26,85,3.269230769230769
14218,Behind the Attic Wall (Avon Camelot Books (Paperback)),30,98,3.2666666666666666
131674,The Other Woman,45,147,3.2666666666666666
22543,Chicken Soup for the Couple's Soul (Chicken Soup for the Soul),45,147,3.2666666666666666
3074,A Light in the Window (The Mitford Years),109,356,3.2660550458715596
45926,Franny and Zooey,94,307,3.265957446808511
130229,The Mummy or Ramses the Damned,173,565,3.2658959537572256
90346,Patty Jane's House of Curl (Ballantine Reader's Circle),79,258,3.2658227848101267
86553,"Offer From a Gentleman, An",34,111,3.264705882352941
148420,Until Forever,34,111,3.264705882352941
4629,A Streetcar Named Desire,38,124,3.263157894736842
30897,Death du Jour,149,486,3.261744966442953
91064,Persuasion,46,150,3.260869565217391
55844,Hot Pursuit,23,75,3.260869565217391
59046,Immortality,23,75,3.260869565217391
4921,A Traitor to Memory,96,313,3.2604166666666665
137738,The Telling,31,101,3.2580645161290325
3695,A Patchwork Planet (Ballantine Reader's Circle),66,215,3.257575757575758
115229,The Associate,70,228,3.257142857142857
22908,Chocolate Chip Cookie Murder (Hannah Swensen Mysteries (Paperback)),39,127,3.2564102564102564
83131,Naked Prey,59,192,3.2542372881355934
99755,SHIPPING NEWS,382,1243,3.2539267015706805
93022,Postmortem,174,566,3.2528735632183907
56371,How the Garcia Girls Lost Their Accents (Plume Contemporary Fiction),107,348,3.2523364485981308
106291,Snow Falling on Cedars,662,2153,3.2522658610271904
18389,Bridge of Birds,28,91,3.25
50219,Great Expectations (Wordsworth Classics),28,91,3.25
1660,A Cold Day in Paradise (Alex McKnight Mysteries (Paperback)),24,78,3.25
66586,La Nuit des temps,24,78,3.25
69995,Life and Death in Shanghai,28,91,3.25
29325,Das Druidentor.,24,78,3.25
90583,Pelican Brief,36,117,3.25
137891,The Thief Lord,124,403,3.25
100211,Safe Harbour,28,91,3.25
14910,Bet Me,32,104,3.25
134168,The Return of the Indian (Indian in the Cupboard),56,182,3.25
92967,Possessing the Secret of Joy,104,338,3.25
122913,The First Four Years (Little House),24,78,3.25
25740,Contact,177,575,3.248587570621469
78135,Midnight Bayou,183,594,3.2459016393442623
80894,Mr. Popper's Penguins,41,133,3.2439024390243905
90592,Pen Pals,78,253,3.2435897435897436
134088,The Rescue,308,999,3.2435064935064934
115504,The Ballad of Frankie Silver,74,240,3.2432432432432434
94785,Pyramids (Discworld Novels (Paperback)),33,107,3.242424242424242
132559,The Pillars of the Earth,231,749,3.242424242424242
119790,The Count of Monte Cristo (Bantam Classics),29,94,3.2413793103448274
35897,Dracula (Penguin Classics),25,81,3.24
1995,A Density of Souls,71,230,3.23943661971831
15628,Big Trouble,222,719,3.2387387387387387
16746,Blood Will Tell,21,68,3.238095238095238
97062,"Remember When (Roberts, Nora)",42,136,3.238095238095238
125688,The House Next Door,42,136,3.238095238095238
127319,The Last Battle (The Chronicles of Narnia Book 7),21,68,3.238095238095238
94088,Prodigy,21,68,3.238095238095238
106796,Some Things That Stay,21,68,3.238095238095238
81327,Murder Must Advertise,21,68,3.238095238095238
75572,Mansfield Park (Penguin Classics),38,123,3.236842105263158
123475,The Future Homemakers of America,76,246,3.236842105263158
30703,Death Comes for the Archbishop (Vintage Classics),34,110,3.235294117647059
135344,The Secret,98,317,3.2346938775510203
123016,The Flanders Panel,81,262,3.234567901234568
16955,Blue Diary,137,443,3.2335766423357666
78785,Miss America,30,97,3.2333333333333334
14972,Betsy-Tacy (Betsy-Tacy),30,97,3.2333333333333334
50578,Gridlock,30,97,3.2333333333333334
54934,Hitchhikers's Guide to the Galaxy,69,223,3.2318840579710146
3644,A Painted House,838,2708,3.231503579952267
130063,The Moonstone (Penguin Classics),26,84,3.230769230769231
60160,Inherit the Wind,26,84,3.230769230769231
103063,Separation of Power,26,84,3.230769230769231
123601,The Gate to Women's Country,48,155,3.2291666666666665
110408,Sudden Mischief,35,113,3.2285714285714286
57627,I Dreamed of Africa,35,113,3.2285714285714286
74251,Mad Jack,35,113,3.2285714285714286
151054,Watchers,180,581,3.227777777777778
146035,Triggerfish Twist,44,142,3.227272727272727
37157,Earth Abides,22,71,3.227272727272727
87138,On the Beach,44,142,3.227272727272727
29895,Dave Barry Turns 40,44,142,3.227272727272727
91958,Plainsong,53,171,3.2264150943396226
108596,Standing in the Rainbow,106,342,3.2264150943396226
114787,The Analyst,31,100,3.225806451612903
73014,Love in Vein,31,100,3.225806451612903
47780,Generation Golf. Eine Inspektion,40,129,3.225
75633,"Many Lives, Many Masters",40,129,3.225
40484,Evening Class,209,674,3.22488038277512
105879,Slightly Single (Red Dress Ink (Paperback)),45,145,3.2222222222222223
55086,Holidays in Hell,27,87,3.2222222222222223
93541,Presumption of Death,27,87,3.2222222222222223
106055,Small leather journal with strap-myra series,36,116,3.2222222222222223
148305,Unnatural Exposure,258,831,3.2209302325581395
43355,Finding Moon,68,219,3.2205882352941178
10977,Artemis Fowl.,32,103,3.21875
110790,"Sundiver (The Uplift Saga, Book 1)",32,103,3.21875
89070,Oxygen,23,74,3.217391304347826
127948,The Light of Other Days,37,119,3.2162162162162162
30771,Death Qualified (Barbara Holloway Novels (Paperback)),37,119,3.2162162162162162
15844,Birdman,56,180,3.2142857142857144
67589,Lasher (Lives of the Mayfair Witches),28,90,3.2142857142857144
67647,"Last Dance, Last Chance (Ann Rule's Crime Files)",66,212,3.212121212121212
36286,Dreamcatcher,481,1545,3.212058212058212
98908,Roots,71,228,3.211267605633803
125964,The Ice Limit,43,138,3.2093023255813953
17652,Born in Fire,72,231,3.2083333333333335
22990,Chosen Prey,192,616,3.2083333333333335
99329,Rumble Fish (Laurel-Leaf Contemporary Fiction),24,77,3.2083333333333335
49501,Gone With the Wind,29,93,3.206896551724138
29904,Dave Barry's Only Travel Guide You'll Ever Need,29,93,3.206896551724138
16728,Blood Test (Alex Delaware Novels (Paperback)),29,93,3.206896551724138
44857,Fool's Puzzle,34,109,3.2058823529411766
99232,Rubyfruit Jungle,78,250,3.2051282051282053
65105,Kissing in Manhattan,44,141,3.2045454545454546
24308,Code to Zero,152,487,3.2039473684210527
139532,The Voice of the Night,89,285,3.202247191011236
123875,The Girl Who Loved Tom Gordon,219,701,3.2009132420091326
78012,Microserfs,70,224,3.2
78914,Miss Smillas Feeling for Snow,40,128,3.2
154478,Willow (Debeers),35,112,3.2
43317,Finders Keepers,25,80,3.2
9778,Animal Dreams,167,534,3.197604790419162
8825,An Accidental Woman,61,195,3.19672131147541
127999,The Lion's Game,122,390,3.19672131147541
39615,Endangered Species (Anna Pigeon Mysteries (Paperback)),51,163,3.196078431372549
89696,Paper Doll,46,147,3.1956521739130435
72041,Loose Screws (Red Dress Ink (Paperback)),41,131,3.1951219512195124
96536,Red Azalea,36,115,3.1944444444444446
118971,The Color of Magic,103,329,3.1941747572815533
136486,The Solitaire Mystery,31,99,3.193548387096774
139607,The Wailing Wind,119,380,3.19327731092437
11768,Aunt Julia and the Scriptwriter,26,83,3.1923076923076925
30194,Dead Aim,99,316,3.191919191919192
3675,A Passage to India,68,217,3.1911764705882355
132045,The Passion of Artemisia,105,335,3.1904761904761907
42490,Fatal Tide,21,67,3.1904761904761907
114182,The 25th Hour,21,67,3.1904761904761907
110453,Suffer the Children,21,67,3.1904761904761907
42297,Farewell to Yarns (Jane Jeffry Mysteries (Paperback)),21,67,3.1904761904761907
114934,The Anubis Gates,21,67,3.1904761904761907
108931,Starship Troopers,95,303,3.1894736842105265
140554,The Witches (Puffin Novels),32,102,3.1875
130981,The Night Before Christmas,32,102,3.1875
41386,FLOWERS IN ATTIC (Dollanger Saga (Paperback)),32,102,3.1875
73412,Loyalty in Death,43,137,3.186046511627907
39102,Embers,43,137,3.186046511627907
29889,Dave Barry Is Not Making This Up,43,137,3.186046511627907
35107,Dolores Claiborne,275,876,3.1854545454545455
54322,Hiding Place,54,172,3.185185185185185
85502,Northanger Abbey (Penguin Popular Classics),27,86,3.185185185185185
53151,Hearts In Atlantis,179,570,3.184357541899441
49933,Grand Avenue,87,277,3.1839080459770117
3442,A Monstrous Regiment of Women,49,156,3.183673469387755
112092,Tailchaser's Song,71,226,3.183098591549296
7749,All Tomorrow's Parties,44,140,3.1818181818181817
133888,The Rebel Bride,22,70,3.1818181818181817
66103,LET ME CALL YOU SWEETHEART,44,140,3.1818181818181817
88160,Oranges Are Not the Only Fruit,55,175,3.1818181818181817
21285,Cat Haiku,22,70,3.1818181818181817
59715,"In the Garden of Iden (A Novel of the Company, Book 1)",22,70,3.1818181818181817
133749,The Rana Look,22,70,3.1818181818181817
92528,Point of Origin,277,881,3.1805054151624548
16387,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",50,159,3.18
137853,The Testament,617,1962,3.179902755267423
130213,The Mulberry Tree,156,496,3.1794871794871793
62122,James and the Giant Peach,78,248,3.1794871794871793
94939,"Queen of Sorcery (The Belgariad, Book 2)",39,124,3.1794871794871793
22712,"Children of Dune (Dune Chronicles, Book 3)",73,232,3.1780821917808217
59794,In the Presence of the Enemy,73,232,3.1780821917808217
123959,The Glass Lake,158,502,3.1772151898734178
50095,Gravity (A),34,108,3.176470588235294
64298,Keeper of the Heart,34,108,3.176470588235294
89094,P Is for Peril (Kinsey Millhone Mysteries (Hardcover)),119,378,3.176470588235294
57708,I Know Why the Caged Bird Sings,199,632,3.1758793969849246
83657,Nerve,23,73,3.1739130434782608
115438,The Bachelor List,23,73,3.1739130434782608
57704,I Know This Much Is True,276,876,3.1739130434782608
109987,Strangers,150,476,3.1733333333333333
17907,Brain Droppings,58,184,3.1724137931034484
9759,Anil's Ghost (Vintage International),58,184,3.1724137931034484
146027,Tricky Business,58,184,3.1724137931034484
42696,Fear Nothing,209,663,3.172248803827751
53981,Here on Earth (Oprah's Book Club),83,263,3.1686746987951806
70608,Listeners,24,76,3.1666666666666665
73681,Lyon's Pride (Rowan),36,114,3.1666666666666665
23038,Christine,145,459,3.1655172413793102
37401,Eaters of the Dead,109,345,3.165137614678899
109723,Stormy Weather,103,326,3.1650485436893203
3615,A Night to Remember,67,212,3.1641791044776117
46331,Friendship Cake,43,136,3.1627906976744184
151744,Welcome to the Monkey House,43,136,3.1627906976744184
3919,A Prayer for Owen Meany (Ballantine Reader's Circle),37,117,3.1621621621621623
126047,The Illustrated Man (Grand Master Editions),37,117,3.1621621621621623
149813,Vixen 03,31,98,3.161290322580645
36026,Dragondrums,25,79,3.16
113496,Ten Things I Wish I'd Known Before I Went Out into the Real World,25,79,3.16
100364,"Salamandastron (Redwall, Book 5)",25,79,3.16
905,50 Simple Things You Can Do to Save the Earth,50,158,3.16
72462,Lost Horizon,25,79,3.16
55852,Hot Shot,44,139,3.159090909090909
36755,Dune,84,265,3.1547619047619047
124470,"The Great Hunt (The Wheel of Time, Book 2)",65,205,3.1538461538461537
25311,Complicity,39,123,3.1538461538461537
151034,Watch Me,26,82,3.1538461538461537
65207,Knee Deep in Paradise,26,82,3.1538461538461537
30410,Deadlock (V.I. Warshawski Novels (Paperback)),39,123,3.1538461538461537
21610,Cavedweller,59,186,3.152542372881356
110418,Suddenly,40,126,3.15
116536,The Black Echo,40,126,3.15
150002,Voyage of the Dawn Treader,47,148,3.148936170212766
16750,Blood Work (Blood Work),47,148,3.148936170212766
138041,The Three Musketeers,27,85,3.1481481481481484
136280,The Skull Mantra,27,85,3.1481481481481484
30881,Death by Darjeeling (Tea Shop Mysteries),27,85,3.1481481481481484
117168,The Bottoms,27,85,3.1481481481481484
103954,Shattered,115,362,3.1478260869565218
58482,Idoru,88,277,3.147727272727273
6688,Affinity,68,214,3.1470588235294117
67638,Last Chance to See,34,107,3.1470588235294117
136606,The Source,41,129,3.1463414634146343
95904,Ransom,89,280,3.146067415730337
63258,Judas Child,49,154,3.142857142857143
28324,Daggerspell,21,66,3.142857142857143
95750,Ralph S. Mouse,28,88,3.142857142857143
129985,The Monkey's Raincoat,28,88,3.142857142857143
98050,Rilla of Ingleside (Anne of Green Gables Novels (Paperback)),42,132,3.142857142857143
149977,Vox,21,66,3.142857142857143
134525,The Romance Reader,28,88,3.142857142857143
9996,Anne of Windy Poplars (Anne of Green Gables Novels (Paperback)),64,201,3.140625
126891,The Killer Angels,128,402,3.140625
22219,Charms for Easy Life,50,157,3.14
123933,The Girls' Guide to Hunting and Fishing,573,1799,3.1396160558464223
119587,The Concrete Blonde (A Harry Bosch Novel),72,226,3.138888888888889
15987,Bitter Harvest,72,226,3.138888888888889
31603,Demons Don't Dream (Xanth),29,91,3.1379310344827585
104661,Sights Unseen,58,182,3.1379310344827585
49039,God Save the Sweet Potato Queens,66,207,3.1363636363636362
94330,Prospect Street,22,69,3.1363636363636362
85504,Northanger Abbey (Wordsworth Collection),22,69,3.1363636363636362
93745,Prince and the Pauper Walt Disney,22,69,3.1363636363636362
106282,Snow Country,22,69,3.1363636363636362
4296,A Secret Love (Cynster Novels),22,69,3.1363636363636362
96355,Rebekah (Women of Genesis),22,69,3.1363636363636362
26734,Cradle and All,265,831,3.1358490566037736
148860,"Valley of the Horses (Auel, Jean M. , Earth's Children.)",59,185,3.135593220338983
152748,When Rabbit Howls,59,185,3.135593220338983
88733,Out of the Blue (Red Dress Ink (Paperback)),37,116,3.135135135135135
120252,The Damnation Game,37,116,3.135135135135135
8971,An Equal Music,52,163,3.1346153846153846
150105,WEAVEWORLD (The Fantacy Classic),30,94,3.1333333333333333
138249,The Tommyknockers,221,692,3.1312217194570136
83228,Narcissus in Chains (Anita Blake Vampire Hunter (Paperback)),61,191,3.1311475409836067
61501,It Was on Fire When I Lay Down on It,153,479,3.130718954248366
45789,Framed in Lace (Needlecraft Mysteries),46,144,3.130434782608696
24150,Cloud of Sparrows,23,72,3.130434782608696
34643,Dispossessed,23,72,3.130434782608696
154308,Wild at Heart,23,72,3.130434782608696
53163,Hearts in Atlantis,170,532,3.1294117647058823
51064,Gulliver's Travels (Penguin Classics),31,97,3.129032258064516
