,ISBN,Book-Title,total_ratings,sum_weighted_ratings,weighted_avg_rating
4314,0060915153,Why Do Clocks Run Clockwise?,31,108,3.4838709677419355
61678,0440226198,The Gift of Fear,31,108,3.4838709677419355
70862,0450411435,It,29,101,3.4827586206896552
45725,0380726297,Sacred,29,101,3.4827586206896552
86935,0553382411,The Elegant Gathering of White Snows,27,94,3.4814814814814814
46238,0380762560,Surrender My Love,25,87,3.48
91353,0590383892,Sirena,25,87,3.48
101700,067172939X,Dark Angel (Casteel),23,80,3.4782608695652173
123116,0802139868,The Sexual Life of Catherine M.,23,80,3.4782608695652173
84957,0553258001,The Cider House Rules,90,313,3.477777777777778
21397,0312283709,Running with Scissors,67,233,3.4776119402985075
51721,0394712587,The Plague,21,73,3.4761904761904763
127325,0812522400,Lord of the Isles (Lord of the Isles),21,73,3.4761904761904763
5294,0061020680,Mort (Discworld Novels (Paperback)),42,146,3.4761904761904763
63335,0440995779,The Witch of Blackbird Pond (Laurel Leaf Books),42,146,3.4761904761904763
50035,0385508417,Skipping Christmas,101,351,3.4752475247524752
88918,0553584707,Catering to Nobody,40,139,3.475
47083,038079487X,What Looks Like Crazy On An Ordinary Day,211,733,3.4739336492890995
4511,0060932759,Daughter of Fortune,112,389,3.4732142857142856
28150,0345335511,"Pawn of Prophecy (The Belgariad, Book 1)",53,184,3.4716981132075473
146631,0918949165,When I Am an Old Woman I Shall Wear Purple,34,118,3.4705882352941178
2371,0060086246,Last Chance Saloon,34,118,3.4705882352941178
7505,0070212570,Fried Green Tomatoes at the Whistle Stop Cafe,213,739,3.4694835680751175
86437,0553294903,Divine Evil,49,170,3.4693877551020407
121479,0786885688,Shopgirl,145,503,3.4689655172413794
45704,0380725703,Love Me Forever (Sherring Cross (Paperback)),32,111,3.46875
2333,0060080841,The Stepford Wives,32,111,3.46875
44407,0380001411,Christy,79,274,3.4683544303797467
106413,0684800713,Sun Also Rises,62,215,3.467741935483871
86125,0553287346,Well-Schooled in Murder,45,156,3.466666666666667
108056,0688163165,Mystic River,45,156,3.466666666666667
65429,0446322180,Name of the Rose-Nla,58,201,3.4655172413793105
96491,0671001795,Two for the Dough,267,925,3.4644194756554305
9325,0140049975,East of Eden,28,97,3.4642857142857144
96714,0671008978,Timepiece,28,97,3.4642857142857144
12426,0140430164,Mansfield Park (Penguin Classics),28,97,3.4642857142857144
61876,0440235804,Her Father's House,39,135,3.4615384615384617
88841,0553583077,To Kiss a Spy (Get Connected Romances),24,83,3.4583333333333335
57293,0425152901,Thin Air,24,83,3.4583333333333335
124006,0804108692,Life on the Road,24,83,3.4583333333333335
43870,0375726403,Empire Falls,321,1109,3.454828660436137
29324,0345391837,"So Long, and Thanks for All the Fish",33,114,3.4545454545454546
79318,0517122707,A Confederacy of Dunces,77,266,3.4545454545454546
175218,3492238696,Balzac und die kleine chinesische Schneiderin.,33,114,3.4545454545454546
78193,0515107662,The Sherbrooke Bride (Bride Trilogy (Paperback)),44,152,3.4545454545454546
178200,8401491029,Misery,22,76,3.4545454545454546
102085,0671746723,Dirk Gently's Holistic Detective Agency,33,114,3.4545454545454546
122514,0800718372,Flabbergasted,22,76,3.4545454545454546
69450,0449212602,The Handmaid's Tale,273,943,3.4542124542124544
118690,0767915062,Bill Bryson's African Diary,42,145,3.4523809523809526
3566,0060512806,Cryptonomicon,51,176,3.450980392156863
12177,0140374248,James and the Giant Peach,51,176,3.450980392156863
105099,0679746048,"Girl, Interrupted",251,866,3.450199203187251
77509,0505525526,Single White Vampire,40,138,3.45
105237,0679762108,The Sportswriter (Vintage Contemporaries),29,100,3.4482758620689653
61918,0440236703,Tell No One,210,724,3.447619047619048
107383,0688046606,Night over Water,27,93,3.4444444444444446
47372,0380808072,First Lady,36,124,3.4444444444444446
89506,0571154913,Remains of the Day,36,124,3.4444444444444446
12507,014043187X,The Picture of Dorian Gray (Penguin Classic),27,93,3.4444444444444446
124165,0804114986,The Bonesetter's Daughter,257,885,3.443579766536965
24638,0316788228,The Pilot's Wife,115,396,3.4434782608695653
71623,0451153553,Misery,106,365,3.443396226415094
88165,0553569783,Heartstone,34,117,3.4411764705882355
6894,0064408663,"The Hostile Hospital (A Series of Unfortunate Events, Book 8)",34,117,3.4411764705882355
113492,0743436679,The Bone Vault,25,86,3.44
71909,0451165594,The I-5 Killer (Signet True Crime S.),25,86,3.44
4619,0060958022,Five Quarters of the Orange,148,509,3.439189189189189
67082,0446608262,The Lion's Game,89,306,3.438202247191011
101286,0671702513,The Prize,39,134,3.4358974358974357
159802,1580082319,How Wal-Mart is Destroying America and The World and What You Can Do About It,23,79,3.4347826086956523
54642,0399147284,Chosen Prey,46,158,3.4347826086956523
167654,202025462X,Hygiene De Lassassin,23,79,3.4347826086956523
15005,0156005891,Eden Close,76,261,3.4342105263157894
71674,0451155750,The Dead Zone,83,285,3.433734939759036
58103,0425184234,A Small Death in Lisbon,37,127,3.4324324324324325
30271,0345450892,The Lake of Dead Languages (Ballantine Reader's Circle),51,175,3.4313725490196076
67111,0446608955,A Walk to Remember,284,974,3.4295774647887325
140926,0880381736,"Dragons of Autumn Twilight (Dragonlance Chronicles, Vol 1)",56,192,3.4285714285714284
101846,067173685X,REMEMBER ME (REMEMBER ME),21,72,3.4285714285714284
88673,0553580078,The Years of Rice and Salt,28,96,3.4285714285714284
28171,0345336038,To Ride Pegasus,21,72,3.4285714285714284
88825,0553582763,By the Light of the Moon,91,312,3.4285714285714284
65161,0445406518,Crocodile on the Sandbank,68,233,3.426470588235294
142470,0886777631,"City of Golden Shadow (Otherland, Volume 1)",54,185,3.425925925925926
20428,0312113420,James Herriot's Cat Stories,40,137,3.425
85257,055326611X,EVEN COWGIRLS GET THE BLUES,40,137,3.425
96143,0670858692,Rose Madder,66,226,3.4242424242424243
74643,0451523385,Wuthering Heights (Signet Classic),33,113,3.4242424242424243
96761,0671011375,Death du Jour,92,315,3.4239130434782608
43859,0375725784,A Heartbreaking Work of Staggering Genius,302,1034,3.423841059602649
6219,0061094129,Legal Tender,52,178,3.423076923076923
2282,0060008024,Angels,38,130,3.4210526315789473
61148,0440212359,London Transports,50,171,3.42
88911,0553584480,The Face,43,147,3.4186046511627906
54593,039914613X,Easy Prey,43,147,3.4186046511627906
54690,039914840X,Three Fates,55,188,3.418181818181818
29403,034540047X,The Hotel New Hampshire,36,123,3.4166666666666665
79813,0517556278,Mammoth Hunters (Earth's Children),48,164,3.4166666666666665
29753,0345423097,Joy School (Ballantine Reader's Circle),48,164,3.4166666666666665
58241,0425188787,Hunting Season (Anna Pigeon Novels (Paperback)),60,205,3.4166666666666665
176403,3548603203,Artemis Fowl.,24,82,3.4166666666666665
72433,0451185560,Fear of Flying,24,82,3.4166666666666665
66589,0446527297,The Millionaires,41,140,3.4146341463414633
87859,0553562614,Snow Crash,82,280,3.4146341463414633
76583,0486277860,The Awakening (Dover Thrift Editions),29,99,3.413793103448276
86142,0553287893,Rendezvous with Rama,51,174,3.411764705882353
49888,0385490992,The Street Lawyer,124,423,3.411290322580645
75199,0452264464,Beloved (Plume Contemporary Fiction),180,614,3.411111111111111
30084,0345440765,The World Below (Ballantine Reader's Circle),44,150,3.409090909090909
142254,0886773741,Tailchaser's Song,22,75,3.409090909090909
168172,207038165X,L'Insoutenable Legerete de l'Etre,22,75,3.409090909090909
43350,0375412824,The Dive From Clausen's Pier (Alex Awards),120,409,3.408333333333333
54829,0399151648,Kate Remembered,49,167,3.4081632653061225
60156,0440127793,Galapagos,76,259,3.4078947368421053
151700,1551665301,Book Club,59,201,3.406779661016949
66935,0446605239,The Notebook,465,1584,3.4064516129032256
83417,0553205587,Lord God Made Them All,32,109,3.40625
71982,0451168089,'Salem's Lot,32,109,3.40625
66910,0446604666,Sick Puppy,165,562,3.4060606060606062
9519,014006690X,The Women of Brewster Place (Penguin Contemporary American Fiction Series),37,126,3.4054054054054053
79937,0517580497,Plains of Passage (Earth's Children),47,160,3.404255319148936
57877,0425177173,Atlantis Found,104,354,3.4038461538461537
59550,0439404371,The Thief Lord,92,313,3.402173913043478
71748,0451158717,Who's Afraid of Virginia Woolf?,25,85,3.4
102280,0671776126,Plain Truth,25,85,3.4
97256,0671034006,Heartbreaker,75,255,3.4
85914,0553280945,The Mammoth Hunters (Earth's Children (Paperback)),78,265,3.3974358974358974
67511,0446678457,Cane River (Oprah's Book Club (Paperback)),73,248,3.3972602739726026
29975,0345435168,Open House (Oprah's Book Club (Paperback)),134,455,3.3955223880597014
78970,0515135062,Three Fates,142,482,3.3943661971830985
79004,0515136379,Key of Knowledge (Key Trilogy (Paperback)),117,397,3.393162393162393
101710,0671729497,Web of Dreams (Casteel),28,95,3.392857142857143
49610,0385421982,The Pelican Brief,56,190,3.392857142857143
123942,0804105820,It Was on Fire When I Lay Down on It,107,363,3.392523364485981
71959,0451167317,The Dark Half,153,519,3.392156862745098
106354,0684195984,FROM POTTER'S FIELD,74,251,3.391891891891892
46996,0380791978,The Family Tree,46,156,3.391304347826087
167928,2070362388,Ravage,23,78,3.391304347826087
11605,0140304770,A Wizard of Earthsea (Pelican Books),23,78,3.391304347826087
139584,0876120796,Autobiography of a Yogi,23,78,3.391304347826087
13898,0142000205,Icy Sparks,277,939,3.3898916967509027
58436,0425194515,Midnight,31,105,3.3870967741935485
2352,0060083298,The Dominant Blonde,26,88,3.3846153846153846
67173,0446610399,The Rescue,195,660,3.3846153846153846
86826,0553377876,Half Asleep in Frog Pajamas,52,176,3.3846153846153846
84667,0553250426,The Clan of the Cave Bear (Earth's Children (Paperback)),216,731,3.384259259259259
49335,0385333412,Dating Big Bird,47,159,3.382978723404255
98900,0671510126,The Good Earth (Enriched Classics),55,186,3.381818181818182
54823,0399151540,Divided in Death,21,71,3.380952380952381
4823,0060976624,Thank You for Smoking,21,71,3.380952380952381
100972,0671683063,Book of Virtues,21,71,3.380952380952381
12916,0140449124,Madame Bovary,21,71,3.380952380952381
75499,0452282128,Thirty Nothing,42,142,3.380952380952381
29076,0345380193,Just Cause,21,71,3.380952380952381
29962,0345434692,The Skies of Pern,29,98,3.3793103448275863
25363,0330349678,With Nails the Film Diaries of Richard E,29,98,3.3793103448275863
30273,0345450914,Seduction of Water (Ballantine Reader's Circle),29,98,3.3793103448275863
6254,0061096083,The Bestseller,37,125,3.3783783783783785
57087,0425141551,Paper Doll,37,125,3.3783783783783785
102973,067187098X,For the Roses,45,152,3.3777777777777778
28716,0345362861,Dragonsdawn,61,206,3.377049180327869
57138,0425144062,Witches' Bane,24,81,3.375
21302,0312274920,Round Ireland With a Fridge,96,324,3.375
107280,068803036X,The Cider House Rules,24,81,3.375
49446,0385336306,Safe Harbour,24,81,3.375
61177,0440213320,Deadlock (V.I. Warshawski Novels (Paperback)),32,108,3.375
73246,0451209907,Quentins,91,307,3.3736263736263736
89112,0553802461,Dead Aim,43,145,3.372093023255814
47021,0380792745,The Lust Lizard of Melancholy Cove,62,209,3.370967741935484
29824,034542705X,The Man Who Listens to Horses,27,91,3.3703703703703702
28872,0345370775,Jurassic Park,466,1570,3.369098712446352
12423,0140430113,Jane Eyre (Penguin Classics),38,128,3.3684210526315788
88431,0553575384,To Say Nothing of the Dog,76,256,3.3684210526315788
75492,0452281725,The Quilter's Apprentice,49,165,3.36734693877551
85354,0553268937,The Water Is Wide,49,165,3.36734693877551
75544,0452283930,Gossip Hound,30,101,3.3666666666666667
56403,0425092178,Strangers,30,101,3.3666666666666667
22775,0312925883,Not Without My Daughter,52,175,3.3653846153846154
88235,0553571656,The Beekeeper's Apprentice,74,249,3.364864864864865
44764,0380470845,The Fulfillment,33,111,3.3636363636363638
105372,067978120X,Chasing Cezanne,22,74,3.3636363636363638
113093,0743406125,Year Zero,22,74,3.3636363636363638
54608,0399146431,The Bonesetter's Daughter,117,393,3.358974358974359
5665,0061057363,Ruins (The X-Files),28,94,3.357142857142857
81304,0525945636,Code to Zero,42,141,3.357142857142857
96425,0670910236,Priestess of Avalon,28,94,3.357142857142857
49439,0385336179,Shopaholic Ties the Knot,160,537,3.35625
28853,0345369947,The Mummy or Ramses the Damned,132,443,3.356060606060606
105988,0679893105,"The Golden Compass (His Dark Materials, Book 1)",45,151,3.3555555555555556
124240,0804119708,Over the Edge,31,104,3.3548387096774195
61689,0440226430,Summer Sisters,482,1617,3.354771784232365
82013,0552999954,High Society,48,161,3.3541666666666665
6792,0064405842,"Catherine, Called Birdy (Trophy Newbery)",65,218,3.353846153846154
47812,0380973464,Cryptonomicon,34,114,3.3529411764705883
29175,034538475X,The Tale of the Body Thief (Vampire Chronicles (Paperback)),193,647,3.3523316062176165
23689,0312979096,Now You See Me,88,295,3.352272727272727
96873,0671016768,Bloodstream,54,181,3.3518518518518516
113754,0743464672,Getting Over Jack Wagner,37,124,3.3513513513513513
104837,0679728759,"Blood Meridian, Or, the Evening Redness in the West",23,77,3.347826086956522
67238,044661162X,Chasing the Dime,69,231,3.347826086956522
13242,0140620109,Emma (Penguin Popular Classics),49,164,3.3469387755102042
66949,0446605573,Seeing a Large Cat (Amelia Peabody Mysteries (Paperback)),26,87,3.3461538461538463
60057,0440118700,Cry for the Strangers,26,87,3.3461538461538463
57258,0425150984,Glory in Death,52,174,3.3461538461538463
13938,0142001821,The Passion of Artemisia,67,224,3.343283582089552
67219,0446611239,The Cabinet of Curiosities,70,234,3.342857142857143
71994,0451168615,Skeleton Crew,70,234,3.342857142857143
43673,0375704027,Norwegian Wood (Vintage International Original),38,127,3.3421052631578947
66584,0446527130,Envy,41,137,3.341463414634146
24553,0316693235,Violets Are Blue,118,394,3.3389830508474576
78094,0515102652,The Cat Who Talked to Ghosts,62,207,3.338709677419355
43640,0375702709,A Lesson Before Dying (Vintage Contemporaries (Paperback)),192,641,3.3385416666666665
49993,038550120X,A Painted House,184,614,3.3369565217391304
101557,0671722131,Some Can Whistle,21,70,3.3333333333333335
45813,0380729342,Tales from Watership Down,30,100,3.3333333333333335
176373,354860028X,Regenroman.,21,70,3.3333333333333335
160016,1582341400,A Cook's Tour,21,70,3.3333333333333335
91567,0590406191,The Trumpet of the Swan,21,70,3.3333333333333335
54523,0399144315,The Cat Who Saw Stars,33,110,3.3333333333333335
113012,074325547X,Plan of Attack,24,80,3.3333333333333335
6639,0064400565,Stuart Little,42,140,3.3333333333333335
104481,0679454446,Lucky You,48,160,3.3333333333333335
93770,0590660543,Northern Lights (His Dark Materials S.),88,293,3.3295454545454546
67259,044661193X,Basket Case,88,293,3.3295454545454546
6185,0061092614,Finding Moon,52,173,3.326923076923077
63673,0441007813,Obsidian Butterfly,46,153,3.3260869565217392
66638,0446530239,If Looks Could Kill,43,143,3.3255813953488373
37421,0373250126,Milkrun,80,266,3.325
73273,0451210638,A Case of Need,37,123,3.324324324324324
98898,0671510053,SHIPPING NEWS,349,1160,3.32378223495702
66469,0446519790,Unspeakable,34,113,3.323529411764706
57622,042516828X,Sudden Mischief,34,113,3.323529411764706
47412,0380811065,Lady Sophia's Lover,34,113,3.323529411764706
63708,0441008534,Dead Until Dark (Southern Vampire Mysteries),65,216,3.3230769230769233
25158,0330312367,Year In Provence,31,103,3.3225806451612905
11117,0140255125,The Woman Who Walked into Doors,25,83,3.32
173322,3442429552,Die Puppenspieler,25,83,3.32
74823,0451526562,A Tale of Two Cities,25,83,3.32
72417,0451184963,Insomnia,188,624,3.3191489361702127
1111,0020518501,For Whome the Bell Tolls  (REISSUE) (A Scribner Classic),22,73,3.3181818181818183
61421,0440219760,The Transall Saga,22,73,3.3181818181818183
77479,0505525178,Improper English,22,73,3.3181818181818183
15211,0156439611,If on a Winter's Night a Traveler,38,126,3.3157894736842106
97374,0671038567,Body of Evidence,57,189,3.3157894736842106
54569,039914563X,The Bear and the Dragon,54,179,3.314814814814815
29169,0345384369,Intensity,124,411,3.314516129032258
96603,0671004530,On the Street Where You Live,194,643,3.314432989690722
152000,1551668866,Twilight Hunger,35,116,3.3142857142857145
105350,0679776591,Fugitive Pieces,35,116,3.3142857142857145
86877,0553380095,The Heart of a Woman,83,275,3.3132530120481927
158529,1573227889,Tipping the Velvet,48,159,3.3125
47414,0380811081,Again The Magic,32,106,3.3125
45898,0380732149,On the Occasion of My Last Afternoon,32,106,3.3125
12669,0140440224,"The Canterbury Tales, in Modern English",32,106,3.3125
44052,0375760911,The Idiot Girls' Action Adventure Club,112,371,3.3125
5356,0061032093,Breathing Room (Avon Romance),45,149,3.311111111111111
58093,0425183971,Reunion in Death,90,298,3.311111111111111
47526,0380816555,Practical Demonkeeping,45,149,3.311111111111111
102989,0671872001,Disappearing Acts,29,96,3.310344827586207
66568,0446525804,Last Man Standing,55,182,3.309090909090909
138395,0871136791,Cold Mountain,191,632,3.3089005235602094
85576,0553273914,The House of the Spirits,162,536,3.308641975308642
24510,0316603287,The Lake House,94,311,3.3085106382978724
99987,067162461X,LONESOME DOVE  M,26,86,3.3076923076923075
100547,0671657860,"Many Lives, Many Masters",39,129,3.3076923076923075
49146,0385315724,The Paperboy,26,86,3.3076923076923075
9264,0140043128,One Flew over the Cuckoo's Nest,26,86,3.3076923076923075
165474,1882723007,Embraced by the Light,39,129,3.3076923076923075
106819,0684835959,YOU BELONG TO ME,62,205,3.306451612903226
56557,0425101452,Phantoms,62,205,3.306451612903226
5296,0061020702,The Light Fantastic (Discworld Novels (Paperback)),49,162,3.306122448979592
49205,0385319444,Lost in Translation,36,119,3.3055555555555554
67076,0446608122,The Edge of Town,36,119,3.3055555555555554
23867,0312985207,Stephen Coonts' Deep Black (Deep Black),36,119,3.3055555555555554
49087,0385311923,Lightning,23,76,3.3043478260869565
158512,1573226882,Fever Pitch,23,76,3.3043478260869565
57425,042515999X,The Solitaire Mystery,23,76,3.3043478260869565
135664,0843948507,The Traveling Vampire Show,23,76,3.3043478260869565
54131,0399131493,Red Storm Rising,23,76,3.3043478260869565
23697,0312979398,The Eye of the Tiger,23,76,3.3043478260869565
93269,0590477331,Mr. Popper's Penguins,23,76,3.3043478260869565
53129,0395353009,The Prince of Tides,23,76,3.3043478260869565
23659,0312978340,The Skull Mantra,23,76,3.3043478260869565
113268,0743417682,From a Buick 8,89,294,3.303370786516854
83660,0553212478,Frankenstein (Changing Our World),66,218,3.303030303030303
54736,0399149244,Tricky Business,33,109,3.303030303030303
102917,0671867083,REMEMBER ME,43,142,3.302325581395349
78609,0515124621,Then Came Heaven,43,142,3.302325581395349
71525,0451149513,It,53,175,3.30188679245283
43721,0375705856,Plainsong (Vintage Contemporaries),156,515,3.301282051282051
75558,0452284449,The Virgin Blue,133,439,3.300751879699248
4830,006097673X,Autobiography of a Face,30,99,3.3
61998,044024126X,Taken,40,132,3.3
83554,0553210823,The Canterbury Tales (Bantam Classics),30,99,3.3
162851,1853260282,Emma (Wordsworth Classics),40,132,3.3
57316,0425154092,From Potter's Field,229,755,3.296943231441048
69490,0449213447,The Chosen,64,211,3.296875
81344,0525946829,Quentins,91,300,3.2967032967032965
4847,0060977493,The God of Small Things,226,745,3.2964601769911503
57266,0425151379,Irish Chain (Benni Harper Mysteries (Paperback)),27,89,3.2962962962962963
23934,0312991460,To the Nines (A Stephanie Plum Novel),44,145,3.2954545454545454
49641,0385424728,The Chamber,122,402,3.2950819672131146
67445,0446675059,The Honk and Holler Opening Soon,122,402,3.2950819672131146
49141,0385315279,The Fiery Cross,34,112,3.2941176470588234
66564,0446525537,A Walk to Remember,92,303,3.2934782608695654
11532,014029628X,Girl in Hyacinth Blue,191,629,3.2931937172774868
150542,140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),58,191,3.293103448275862
108534,0689710879,The Dark Is Rising,41,135,3.292682926829268
9270,014004387X,Fifth business,24,79,3.2916666666666665
74035,0451451155,Tigana,24,79,3.2916666666666665
124178,0804115613,Fried Green Tomatoes at the Whistle Stop Cafe,72,237,3.2916666666666665
45317,0380710218,Postmortem,144,474,3.2916666666666665
27619,0345313151,Bearing an Hourglass (Incarnations of Immortality (Paperback)),55,181,3.290909090909091
89039,0553800949,Final Target,38,125,3.289473684210526
43237,0375406182,Plainsong,52,171,3.2884615384615383
81313,0525945814,Falling Angels,42,138,3.2857142857142856
100018,0671625837,The Long Dark Tea-Time of the Soul,21,69,3.2857142857142856
81292,0525945121,Chang and Eng,35,115,3.2857142857142856
81348,0525946969,The Last Promise,21,69,3.2857142857142856
138419,0871138018,The Toughest Indian in the World,21,69,3.2857142857142856
54365,0399139710,Acceptable Risk,21,69,3.2857142857142856
64060,0441135560,Damia (Ace Science Fiction),28,92,3.2857142857142856
96289,0670880728,Bridget Jones's Diary,123,404,3.2845528455284554
88386,0553574639,The Main Corpse (Culinary Mysteries (Paperback)),67,220,3.283582089552239
65949,0446364495,The Bridges of Madison County,57,187,3.280701754385965
96301,067088300X,The Girls' Guide to Hunting and Fishing,157,515,3.2802547770700636
61238,0440214920,Drawing Blood,25,82,3.28
54408,039914112X,The Rapture of Canaan (Oprah's Book Club (Hardcover)),25,82,3.28
67529,0446679364,The Future Homemakers of America,75,246,3.28
88824,0553582755,One Door Away from Heaven,225,738,3.28
113404,0743428625,Celeste (Gemini),25,82,3.28
8110,0099143712,Fried Green Tomatoes at the Whistle Stop Cafe,25,82,3.28
30097,0345441265,The Ladies Auxiliary (Ballantine Reader's Circle),61,200,3.278688524590164
104339,0679442790,The Reader,97,318,3.2783505154639174
30125,0345442822,Angry Housewives Eating Bon Bons (Ballantine Reader's Circle),69,226,3.2753623188405796
121109,0786808012,"Artemis Fowl (Artemis Fowl, Book 1)",40,131,3.275
64439,0441569595,Neuromancer (Remembering Tomorrow),179,586,3.2737430167597767
49192,0385319002,Animal Husbandry,22,72,3.272727272727273
73026,0451204891,The Hearing,55,180,3.272727272727273
67433,0446674249,L.A. Confidential,22,72,3.272727272727273
125524,0807508527,"The Boxcar Children (Boxcar Children, No 1)",33,108,3.272727272727273
37434,0373250266,Guilty Feet,22,72,3.272727272727273
45901,0380732238,Smack,22,72,3.272727272727273
150585,1400041414,The Murder Room,22,72,3.272727272727273
4380,0060922532,Pigs in Heaven,125,409,3.272
78843,0515131229,Dance upon the Air (Three Sisters Island Trilogy),258,844,3.2713178294573644
7283,0064472795,"Princess in the Spotlight (The Princess Diaries, Vol. 2)",59,193,3.2711864406779663
164306,1860492592,Alias Grace,52,170,3.269230769230769
43752,037570745X,In the Fall (Vintage Contemporaries (Paperback)),26,85,3.269230769230769
43310,0375410945,The World Below,26,85,3.269230769230769
67258,0446611921,The Millionaires,71,232,3.267605633802817
44998,0380698439,Behind the Attic Wall (Avon Camelot Books (Paperback)),30,98,3.2666666666666666
11109,0140254544,A Light in the Window (The Mitford Years),109,356,3.2660550458715596
70770,0449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),79,258,3.2658227848101267
47508,0380815583,"Offer From a Gentleman, An",34,111,3.264705882352941
13990,0142003727,Revenge of the Middle-Aged Woman,68,222,3.264705882352941
46241,0380762595,Until Forever,34,111,3.264705882352941
67254,0446611867,A Bend in the Road,250,816,3.264
83678,0553212737,Emma,38,124,3.263157894736842
25470,0330375253,Bridget Jones's Diary,99,323,3.2626262626262625
107581,0688084885,Memories of Midnight,23,75,3.260869565217391
58367,0425192741,Tricky Business,23,75,3.260869565217391
72850,0451200152,The Town,23,75,3.260869565217391
85669,0553275852,The Monkey's Raincoat,27,88,3.259259259259259
10176,0140124381,Better Than Life,27,88,3.259259259259259
58056,042518286X,Shock,89,290,3.258426966292135
50044,0385511612,Bleachers,151,492,3.2582781456953644
67351,0446667900,A Darkness More Than Night,97,316,3.2577319587628866
68312,0449003981,A Patchwork Planet (Ballantine Reader's Circle),66,215,3.257575757575758
124221,080411935X,Standing in the Rainbow,105,342,3.257142857142857
1091,0020442602,Voyage of the Dawn Treader,35,114,3.257142857142857
106487,0684803968,LET ME CALL YOU SWEETHEART,43,140,3.255813953488372
105256,067976402X,Snow Falling on Cedars,614,1999,3.255700325732899
88912,0553584510,The Survivors Club,90,293,3.2555555555555555
104516,0679457313,The God of Small Things,63,205,3.253968253968254
11835,014034294X,Matilda,63,205,3.253968253968254
75261,0452268060,How the Garcia Girls Lost Their Accents (Plume Contemporary Fiction),107,348,3.2523364485981308
61545,0440222818,Guilt,44,143,3.25
118640,0767903862,In a Sunburned Country,48,156,3.25
23421,0312969198,A Cold Day in Paradise (Alex McKnight Mysteries (Paperback)),24,78,3.25
68273,0449002411,The Presence,56,182,3.25
27815,0345321383,Bridge of Birds,28,91,3.25
113172,0743411269,An Accidental Woman,60,195,3.25
8270,0099993805,Pelican Brief,36,117,3.25
71310,0451137965,Thinner,92,299,3.25
45090,0380702843,The Return of the Indian (Indian in the Cupboard),56,182,3.25
169769,2266023039,La Nuit des temps,24,78,3.25
162828,1853260045,Great Expectations (Wordsworth Classics),28,91,3.25
71972,0451167783,A Streetcar Named Desire,32,104,3.25
49167,038531695X,The Ghost,40,130,3.25
58101,0425184129,Big Trouble,69,224,3.246376811594203
49108,038531292X,The Gift,57,185,3.245614035087719
30149,0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",49,159,3.2448979591836733
96851,0671015648,Isabel's Bed,41,133,3.2439024390243905
72736,0451197399,The Ballad of Frankie Silver,74,240,3.2432432432432434
5291,0061020656,Pyramids (Discworld Novels (Paperback)),33,107,3.242424242424242
127035,0812510992,The Girl Who Heard Dragons,33,107,3.242424242424242
43751,0375707425,Embers,29,94,3.2413793103448274
83739,0553213504,The Count of Monte Cristo (Bantam Classics),29,94,3.2413793103448274
163684,1857027051,Larrys Party,25,81,3.24
1086,0020442106,The Last Battle (The Chronicles of Narnia Book 7),21,68,3.238095238095238
73287,0451210840,"The Gunslinger (The Dark Tower, Book 1)",21,68,3.238095238095238
20635,031215125X,The Far Pavilions,21,68,3.238095238095238
100347,0671647458,Color Purple,21,68,3.238095238095238
85580,0553273965,Never Cry Wolf,21,68,3.238095238095238
66510,0446521582,The Honk and Holler Opening Soon,42,136,3.238095238095238
54805,0399151060,"Remember When (Roberts, Nora)",42,136,3.238095238095238
28638,0345359321,Travels,21,68,3.238095238095238
105250,0679763309,An Unquiet Mind,38,123,3.236842105263158
86448,0553295276,Beauty,34,110,3.235294117647059
104844,0679728899,Death Comes for the Archbishop (Vintage Classics),34,110,3.235294117647059
99053,0671527215,Hitchhikers's Guide to the Galaxy,69,223,3.2318840579710146
28254,0345339967,Foundation and Earth,26,84,3.230769230769231
97563,0671047345,Separation of Power,26,84,3.230769230769231
105140,0679751521,Midnight in the Garden of Good and Evil,148,478,3.22972972972973
85896,0553280643,The Gate to Women's Country,48,155,3.2291666666666665
78589,0515124206,Mad Jack,35,113,3.2285714285714286
113298,0743418719,Salem Falls,35,113,3.2285714285714286
69767,044922046X,Catering to Nobody,70,226,3.2285714285714286
122948,0802130348,Waiting for Godot,35,113,3.2285714285714286
5342,0061031550,Triggerfish Twist,44,142,3.227272727272727
85815,055327886X,Rubyfruit Jungle,53,171,3.2264150943396226
5615,0061054909,Love in Vein,31,100,3.225806451612903
28227,0345338715,"Enchanters' End Game (The Belgariad, Book 5)",31,100,3.225806451612903
176788,3596150655,Generation Golf. Eine Inspektion,40,129,3.225
47853,0380975068,The Lust Lizard of Melancholy Cove,27,87,3.2222222222222223
149735,0967231434,Small leather journal with strap-myra series,36,116,3.2222222222222223
49410,0385335431,Answered Prayers,36,116,3.2222222222222223
58036,0425182150,Perish Twice,27,87,3.2222222222222223
88834,0553582909,Icebound,27,87,3.2222222222222223
118519,0765343436,Daughter of the Forest (The Sevenwaters Trilogy),36,116,3.2222222222222223
37422,0373250134,Slightly Single (Red Dress Ink (Paperback)),45,145,3.2222222222222223
43557,0375506039,Open House,122,393,3.221311475409836
85396,0553269828,"Sundiver (The Uplift Saga, Book 1)",32,103,3.21875
66920,0446604844,Total Control,101,325,3.217821782178218
