,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
7477,0345441265,The Ladies Auxiliary (Ballantine Reader's Circle),Tova Mirvis,2000,Ballantine Books
7481,0440221595,The Glass Lake,Maeve Binchy,1996,Dell
7483,0525947299,No Second  Chance,Harlan Coben,2003,Dutton Books
7491,0671038443,The Devil's Teardrop,Jeffery Deaver,2000,Pocket
7499,0440222656,The Horse Whisperer,Nicholas Evans,1996,Dell
7526,0679433015,Servant of the Bones,Anne Rice,1996,Alfred A. Knopf
7527,0394587863,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1990,Knopf
7540,0316899984,"River, Cross My Heart",Breena Clarke,1999,Little Brown &amp; Company
7546,014029628X,Girl in Hyacinth Blue,Susan Vreeland,2000,Penguin Books
7550,0441478123,The Left Hand of Darkness (Remembering Tomorrow),Ursula K. Le Guin,1991,ACE Charter
7578,044922046X,Catering to Nobody,Diane Mott Davidson,1995,Fawcett Books
7588,0553572040,Killer Pancake,Diane Mott Davidson,1996,Crimeline
7601,0316095133,Evening Class,Maeve Binchy,0,Little Brown Company
7617,0515128600,The Edge,Catherine Coulter,2000,Jove Books
7618,0553583980,True Blue,Luanne Rice,2002,Bantam Books
7619,0515121843,Sea Swept (Quinn Brothers (Paperback)),Nora Roberts,2001,Jove Books
7628,0312952716,A Simple Plan,Scott Smith,1994,St. Martin's Press
7642,0451525892,Sense and Sensibility,Jane Austen,1997,Signet Classics
7663,0399147195,P Is for Peril (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,2001,Putnam Publishing Group
7664,0312265840,Seven Up (A Stephanie Plum Novel),Janet Evanovich,2001,St. Martin's Press
7670,0380725827,Firestorm (Anna Pigeon Mysteries (Paperback)),Nevada Barr,1997,Avon
7672,0684835959,YOU BELONG TO ME,Mary Higgins Clark,1998,Simon &amp; Schuster
7680,0452279607,"The Gunslinger (The Dark Tower, Book 1)",Stephen King,1997,Plume Books
7681,0670272663,Different Seasons,Stephen King,1982,Viking Books
7682,0670451932,Cujo,Stephen King,1981,Viking Books
7686,0743436210,Hearts in Atlantis,Stephen King,2001,Pocket
7688,0440236738,Gone for Good,HARLAN COBEN,2003,Dell
7690,0399138250,Without Remorse,Tom Clancy,1993,Putnam Publishing Group
7691,0804105820,It Was on Fire When I Lay Down on It,Robert Fulghum,1993,Ivy Books
7697,0446604844,Total Control,David Baldacci,1997,Warner Books
7709,0553582526,Dust to Dust,TAMI HOAG,2002,Bantam
7710,0684859734,Grave Secrets (Temperance Brennan Novel (Hardcover)),Kathy Reichs,2002,Scribner
7717,0451173139,Night over Water,Ken Follett,1992,Signet Book
7718,0671038567,Body of Evidence,Patricia Cornwell,1999,Pocket
7720,0141000198,Bridget Jones's Diary,Helen Fielding,2001,Penguin Putnam
7732,0446365386,Gone with the Wind,Margaret Mitchell,1993,Warner Books
7738,0446519804,The Alibi,Sandra Brown,1999,Warner Books
7739,0446527017,Standoff,Sandra Brown,2000,Warner Books
7742,0671727796,The Color Purple,Alice Walker,1990,Pocket
7756,0451161351,Cujo,Stephen King,2004,Signet Book
7758,0425100650,Twilight Eyes,Dean R. Koontz,1995,Berkley Publishing Group
7765,0373218036,"Truly, Madly Manhattan",Nora Roberts,2003,Silhouette
7768,0671047329,The Third Option,Vince Flynn,2001,Pocket Star
7799,0515125628,The Target,Catherine Coulter,1999,Jove Books
7801,055357695X,Out of the Shadows (Shadows Trilogy (Paperback)),Kay Hooper,2000,Bantam Books
7808,0425172546,Southern Cross,Patricia Daniels Cornwell,1999,Berkley Publishing Group
7820,0140113428,The Cat Who Came for Christmas,Cleveland Amory,1989,Penguin USA
7828,0553278398,Prelude to Foundation (Foundation Novels (Paperback)),ISAAC ASIMOV,1989,Spectra
7838,0140177396,Of Mice and Men (Penguin Great Books of the 20th Century),John Steinbeck,1993,Penguin Books
7847,0451186923,The Deep End of the Ocean,Jacquelyn Mitchard,1997,New Amer Library
7848,0451184114,Dolores Claiborne,Stephen King,1995,New Amer Library
7851,0553280341,B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1986,Bantam
7852,0553280368,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987,Bantam
7856,0451176464,Gerald's Game,Stephen King,2001,Signet Book
7857,0671894455,FORREST GUMP (Movie Tie in),Winston Groom,1994,Pocket
7858,0451186362,Rose Madder,Stephen King,2004,Signet Book
7861,0446607657,When the Wind Blows,James Patterson,1999,Warner Vision
7873,0345354613,Eaters of the Dead,MICHAEL CRICHTON,1988,Ballantine Books
7878,0140430725,"Pride and Prejudice (The Penguin English Library, El 72)",Jane Austen,1985,Penguin Books
7888,0441569595,Neuromancer (Remembering Tomorrow),William Gibson,1995,Ace Books
7893,0425147363,Tom Clancy's Op-Center (Tom Clancy's Op Center (Paperback)),Tom Clancy,1995,Berkley Publishing Group
7904,0380820293,Last Chance Saloon,Marian Keyes,2002,Avon
7907,0743467345,Mr. Perfect,Linda Howard,2003,Pocket Star
7933,0446613843,The Jester,James Patterson,2004,Warner Books
7935,0553580930,A Man in Full,Tom Wolfe,1999,Bantam
7939,0671024094,The Coffin Dancer (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,1999,Pocket Books
7966,0345301110,Story of O,Pauline Reage,1989,Ballantine Books
7970,0312980140,Seven Up (A Stephanie Plum Novel),Janet Evanovich,2002,St. Martin's Paperbacks
7990,044022425X,Drums of Autumn,DIANA GABALDON,1997,Dell
7993,0440217563,Voyager,DIANA GABALDON,1994,Dell
7994,0385319959,Outlander,Diana Gabaldon,1998,Delta
7997,0446611778,Last Man Standing,David Baldacci,2002,Warner Vision
8027,014023313X,The Stone Diaries,Carol Shields,1995,Penguin Books
8029,0425141233,Winter Prey,John Sandford,2004,Berkley Publishing Group
8047,0060586125,Three Wishes,Liane Moriarty,2004,HarperCollins
8108,006001203X,Dr. Atkins' New Diet Revolution,Robert C. Atkins,2001,Avon Books
8109,0375713344,Geek Love,Katherine Dunn,2002,Vintage Books USA
8119,0140293450,About a Boy,Nick Hornby,2000,Penguin Books Ltd
8121,055311073X,Follow the Stars Home,Luanne Rice,2000,Bantam Dell Pub Group
8122,037540256X,A Patchwork Planet,Anne Tyler,1998,Random House Inc
8123,0440207622,Daddy,DANIELLE STEEL,1990,Dell
8126,0671759329,Darkest Hour (Cutler),V.C. Andrews,1993,Pocket
8127,0399142495,Small Town Girl,LaVyrle Spencer,1997,Putnam Pub Group
8130,0743253973,A Separate Peace,John Knowles,2003,Scribner
8143,0375506039,Open House,Elizabeth Berg,2000,Random House Trade
8144,0345435028,What We Keep,Elizabeth Berg,2002,Ballantine Books
8145,0345453816,Killjoy,Julie Garwood,2003,Ballantine Books
8148,0553583956,Safe Harbor,Luanne Rice,2003,Bantam Books
8157,0671729411,Flowers In The Attic (Dollanganger),V.C. Andrews,1990,Pocket
8179,0553568701,Bad Love (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1994,Bantam Books
8186,0688162827,Tell Me Your Dreams,Sidney Sheldon,1998,William Morrow &amp; Company
8211,0316788228,The Pilot's Wife,Anita Shreve,2001,"Little, Brown"
8223,0951426133,Free,M. Gilliland,1990,Attack International
8226,0451519841,1984,George Orwell,1980,New Amer Library
8229,0140067779,Obasan,Joy Kogawa,1983,Penguin Books
8234,0345345738,Women in His Life,Barbara Taylor Bradford,1994,Ballantine Books
8237,0441172717,Dune (Remembering Tomorrow),Frank Herbert,1996,ACE Charter
8243,0374266441,Smilla's Sense of Snow,Peter Hoeg,1993,Farrar Straus &amp; Giroux
8278,0399142614,The List,Steven Paul Martini,1997,Putnam Pub Group
8290,0743417682,From a Buick 8,Stephen King,2003,Pocket Books
8292,0345441036,Black House,Stephen King,2002,Ballantine Books
8309,0553278274,A Night to Remember,WALTER LORD,1997,Bantam
8311,014034294X,Matilda,Roald Dahl,1990,Puffin Books
8353,034538430X,TickTock,Dean R. Koontz,1997,Ballantine Books
8354,0553576801,The Perfect Husband,LISA GARDNER,1997,Bantam
8358,0553285785,Public Secrets,Nora Roberts,1990,Bantam
8359,0373484410,Time And Again,Nora Roberts,2001,Silhouette
8379,0553578022,The Face of Deception,Iris Johansen,1999,Bantam Books
8380,0449219364,G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1991,Fawcett Books
8406,0743227441,The Other Boleyn Girl,Philippa Gregory,2002,Touchstone
8410,0671024108,Speaking in Tongues,Jeffery Deaver,2002,Pocket
8411,0345433491,Hanna's Daughters (Ballantine Reader's Circle),Marianne Fredriksson,1999,Ballantine Books
8415,1558743316,A 2nd Helping of Chicken Soup for the Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1994,Health Communications
8420,0671452177,WLD ACCORDNG GARP,John Irving,1982,Pocket
8421,0451143426,One Flew Over the Cuckoo's Nest,Ken Kesey,1963,Signet Book
8422,0553275976,The Bonfire of the Vanities,Tom Wolfe,1988,Bantam Books
8424,0140092323,Lake Wobegon days,Garrison Keillor,1986,Penguin Books
8442,0425191583,Imitation in Death (Eve Dallas Mysteries (Paperback)),J. D. Robb,2004,Berkley Publishing Group
8453,0553582127,The Search,Iris Johansen,2001,Bantam Books
8456,0440225817,Acts of Malice,Perri O'Shaughnessy,2000,Island
8462,0553578308,Tough Cookie,Diane Mott Davidson,2001,Bantam Books
8464,0553578359,Chopping Spree,Diane Mott Davidson,2003,Bantam Books
8468,0440901588,A Swiftly Tilting Planet,Madeleine L'Engle,1979,Laure Leaf
8472,068419337X,SHIPPING NEWS,Annie Proulx,1993,Scribner
8480,051513225X,Pendragon,Catherine Coulter,2002,Jove Books
8482,0515129933,The Scottish Bride (Bride Trilogy (Paperback)),Catherine Coulter,2001,Jove Books
8499,0515103292,When Rabbit Howls,Truddi Chase,1990,Jove Books
8560,0671553046,Life Support,Tess Gerritsen,1998,Pocket
8563,043942089X,The Thief Lord,Cornelia Funke,2003,Chicken House
8608,0064405842,"Catherine, Called Birdy (Trophy Newbery)",Karen Cushman,1995,HarperTrophy
8609,0671001787,Alaska,Frank Lauria,1996,Aladdin
8625,0679986375,Stargirl,JERRY SPINELLI,2000,Knopf Books for Young Readers
8649,0553575104,In Pursuit of the Proper Sinner,Elizabeth George,2000,Bantam Books
8651,0451403703,The Hangman's Beautiful Daughter,Sharyn McCrumb,1993,Onyx Books
8680,0525941908,The Regulators,Richard Bachman,1996,Dutton Books
8688,0452284449,The Virgin Blue,Tracy Chevalier,2003,Plume Books
8690,0446610542,The Bachelor (Warner Books Contemporary Romance),Carly Phillips,2002,Warner Forever
8711,0515121495,The List,Steven Paul Martini,1997,Jove Books
8716,0425132951,The House of Thunder,Dean R. Koontz,1993,Berkley Publishing Group
8733,0451188454,The Bone Collector (Lincoln Rhyme Novels (Paperback)),Jeff Deaver,2004,Signet Book
8740,1558745718,Chicken Soup for the Pet Lover's Soul (Chicken Soup for the Soul),Jack Canfield,1998,Health Communications
8742,0425176932,"Breaking Point (Tom Clancy's Net Force, No. 4)",Steve Perry,2000,Berkley Publishing Group
8744,1565117794,Life of Pi,Yann Martel,2003,Highbridge Audio
8759,0425117383,At Risk,Alice Hoffman,1989,Berkley Publishing Group
8767,0060090375,Lucy Sullivan Is Getting Married,Marian Keyes,2002,Perennial
8773,0312984294,The Corrections,Jonathan Franzen,2002,St Martins Pr
8782,0140143505,84 Charing Cross Road,Helene Hanff,1990,Penguin Books
8784,0345413881,Dr. Death (Alex Delaware Novels (Paperback)),Jonathan Kellerman,2001,Ballantine Books
8785,0553289691,SKINNY LEGS AND ALL,TOM ROBBINS,1991,Bantam
8790,0786000872,The Promise,Mandalyn Kaye,1995,Pinnacle Books
8792,0812550757,Speaker for the Dead (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994,Tor Books
8793,067087311X,Icy Sparks,Gwynn Rubio,1998,Viking Books
8797,0451163966,One Flew Over the Cuckoo's Nest,Ken Kesey,1989,Signet Book
8807,0525946829,Quentins,Maeve Binchy,2002,Dutton Books
8853,0425125467,Harmful Intent,Robin Cook,2001,Berkley Publishing Group
8860,0446530077,Find Me,Rosie O'Donnell,2002,Warner Books
8883,0843922567,Creature,Drake Douglas,1985,Banner of Truth
8892,0451178599,Needful Things,Stephen King,1993,New Amer Library
8897,0451128370,Christine,Stephen King,1983,Penguin Putnam~mass
8898,0451170385,Four Past Midnight,Stephen King,2001,Signet Book
8903,0446527297,The Millionaires,Brad Meltzer,2002,Warner Books
8924,0345463153,The Fourth Hand,JOHN IRVING,2003,Fawcett
8929,0385501412,Three Weeks in Paris,BARBARA TAYLOR BRADFORD,2002,Doubleday
8940,0671727583,Smart Women,Judy Blume,1990,Pocket Books
8946,0440212561,Outlander,DIANA GABALDON,1992,Dell
8952,0821769278,Plain Jane,Fern Michaels,2002,Zebra Books
8957,0515133302,Hemlock Bay,Catherine Coulter,2002,Jove Books
8973,1592861512,Journey,Robert Amoroso,2003,Publishamerica
8976,039914840X,Three Fates,Nora Roberts,2002,Putnam Publishing Group
8981,0684801523,The Great Gatsby,F. Scott Fitzgerald,1995,Scribner
8985,0736605673,Animal Farm,George Orwell,1981,Books on Tape
8986,0446532452,The Wedding,Nicholas Sparks,2003,Warner Books
8987,1570629706,Siddhartha,Hermann Hesse,2002,Shambhala
8995,0446520659,The Lion's Game,Nelson DeMille,2000,Warner Books
9018,0425173534,Ssn,Tom Clancy,2000,Berkley Publishing Group
9019,042510107X,Red Storm Rising,Tom Clancy,1997,Berkley Publishing Group
9026,043936213X,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,2001,Scholastic
9095,0739306510,The Last Juror,JOHN GRISHAM,2004,Random House Audio
9133,0312966806,Tell Me Lies (Tell Me Lies),Jennifer Crusie,1999,St. Martin's Press
9153,0446613053,The Crush,Sandra Brown,2003,Warner Books
9158,055357258X,The Last Suppers,DIANE MOTT DAVIDSON,1995,Crimeline
9185,0553573136,Couplehood,PAUL REISER,1995,Bantam
9192,0385302312,Dragonfly in Amber,DIANA GABALDON,1992,Delacorte Press
9194,0385302320,Voyager,DIANA GABALDON,1993,Delacorte Press
9202,0451204530,Code to Zero,Ken Follett,2001,Signet Book
9212,006098824X,Getting Over It,Anna Maxted,2001,Regan Books
9218,0440213886,Echoes,MAEVE BINCHY,1989,Dell
9219,0515116068,Hidden Riches,Nora Roberts,2004,Jove Books
9254,0679879242,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1996,Knopf Books for Young Readers
9263,0440193613,Wanderlust,Danielle Steel,1987,Dell
9265,0743418166,Good in Bed,Jennifer Weiner,2001,Atria
9266,0440235774,Looking Back,Belva Plain,2002,Dell Publishing Company
9269,0743460529,Daddy's Little Girl,Mary Higgins Clark,2003,Pocket
9272,0373825013,"Whirlwind (Tyler, Book 1)",Nancy Martin,1992,Harlequin
9291,0671741209,Stranger Is Watching,Mary Higgins Clark,1991,Pocket
9293,0671880314,Schindler's List,Thomas Keneally,1993,Touchstone
9294,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
9297,0446513067,The General's Daughter,Nelson DeMille,1992,Warner Books
9330,1551665301,Book Club,Mary Alice Monroe,1999,Mira
9361,0345452569,A Cold Heart (Alex Delaware Novels (Paperback)),JONATHAN KELLERMAN,2003,Ballantine Books
9376,0449217191,The Edge,Dick Francis,1990,Fawcett Books
9380,0440127793,Galapagos,"Kurt, Jr. Vonnegut",1986,Dell
9390,0385502532,Drowning Ruth,Christina Schwarz,2000,Doubleday
9405,0684835975,We'll Meet Again,Mary Higgins Clark,1999,Simon &amp; Schuster
9408,096533192X,The Secret Life of Bees,Sue Monk Kidd,2002,Viking Penguin
9414,0553263226,The Bourne Supremacy,Robert Ludlum,1987,Bantam
9420,0373218397,Summer Pleasures,Nora Roberts,2002,Silhouette
9449,0425179885,The Devil's Code,John Sandford,2004,Berkley Publishing Group
9453,0020442203,"Lion, the Witch and the Wardrobe",C.S. Lewis,1970,MacMillan Publishing Company.
9460,0671868691,Bitter Harvest,Ann Rule,1999,Pocket
9465,0762102543,Presumed Innocent,Scott Turow,1999,Simon &amp; Schuster Merchandise &amp;
9488,0441001971,Circus of the Damned (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1995,Ace Books
9489,0684810395,Pretend You Don't See Her,Mary Higgins Clark,1997,Simon &amp; Schuster
9490,0399143874,Homeport,Nora Roberts,1998,Putnam Publishing Group
9500,0440222842,Five Days in Paris,DANIELLE STEEL,1997,Dell
9503,0399141227,Montana Sky,Nora Roberts,1996,Putnam Publishing Group
9516,0440418321,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,2001,Yearling
9523,0671519816,Inca Gold (Clive Cussler),Clive Cussler,1995,Pocket
9524,042518109X,Whispers,Dean R. Koontz,2001,Berkley Publishing Group
9527,0446609145,Void Moon,Michael Connelly,2001,Warner Vision
9531,0141304677,James and the Giant Peach,Roald Dahl,2001,Puffin Books
9534,0679433740,Paradise,Toni Morrison,1998,Alfred A. Knopf
9536,0375703063,A Virtuous Woman (Oprah's Book Club (Paperback)),Kaye Gibbons,1997,Vintage Books
9541,0553351672,Doomsday Book,Connie Willis,1992,Spectra Books
9567,0525945814,Falling Angels,Tracy Chevalier,2001,Dutton Books
9574,0679736042,Toujours Provence (Vintage Departures),Peter Mayle,1992,Vintage Books USA
9577,0156005891,Eden Close,Anita Shreve,1998,Harvest Books
9612,0446602736,Border Music,Robert James Waller,1996,Warner Books
9615,0446360589,The Burden of Proof,Scott Turow,1991,Warner Books
9616,0385315090,Mirror Image,Danielle Steel,1998,Delacorte Press
9617,0385319606,Irresistible Forces,DANIELLE STEEL,1999,Delacorte Press
9618,0385311923,Lightning,DANIELLE STEEL,1995,Delacorte Press
9619,0440500729,Star,Danielle Steel,1989,Delacorte Press
9620,0385297661,Daddy,Danielle Steel,1989,Delacorte Press
9621,0385306024,Accident,Danielle Steel,1994,Delacorte Press
9623,0446802204,Master of the Game,Sidney Sheldon,1983,Not Avail
9627,0679420649,Degree of Guilt,Richard North Patterson,1993,Random House Inc
9634,044023574X,After the Fire,Belva Plain,2001,Dell Publishing Company
9691,0553580221,False Memory,Dean R. Koontz,2000,Bantam Books
9718,0425127230,Stardust,Robert B. Parker,1996,Berkley Publishing Group
9722,0399139087,Second Nature,Alice Hoffman,1994,Putnam Pub Group
9727,0064471047,"The Lion, the Witch, and the Wardrobe (The Chronicles of Narnia, Book 2)",C. S. Lewis,1994,HarperCollins
9728,0345441184,The Mists of Avalon,MARION ZIMMER BRADLEY,2000,Del Rey
9739,0312958129,Coming Home,Rosamunde Pilcher,1996,St. Martin's Press
9750,0345368754,Foucault's Pendulum,Umberto Eco,1990,Ballantine Books
9753,0553213164,Anne of Windy Poplars (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1983,Bantam Classics
9754,0446603929,See How They Run,James Patterson,1997,Warner Books
9757,0553213180,Anne's House of Dreams,L.M. MONTGOMERY,1983,Bantam Classics
9771,0446518581,Border Music,Robert James Waller,1995,Warner Books
9845,0061099708,Colony,Anne Rivers Siddons,1993,HarperTorch
9846,0425182886,Pot Shot,Robert B. Parker,2002,Berkley Publishing Group
9884,0385302304,Outlander,DIANA GABALDON,1991,Delacorte Press
9896,0684195488,Accordion Crimes,E. Annie Proulx,1996,Scribner
9921,0689817851,Go Ask Alice,Anonymous,1998,Simon Pulse
9972,0440237025,Journey,Danielle Steel,2001,Dell Publishing Company
9976,0446603600,Puerto Vallarta Squeeze,Robert James Waller,1996,Warner Books
9980,0312306326,Visions of Sugar Plums,Janet Evanovich,2002,St. Martin's Press
9986,0451169522,Misery,Stephen King,2004,Penguin USA (Paper)
10077,0446359750,Devices and Desires,Phyllis White,1991,Warner Books
10094,044022103X,One True Thing,Anna Quindlen,1995,Dell
10098,0451203593,24 Hours,Greg Iles,2001,Signet Book
10101,1575666731,Plain Jane,Fern Michaels,2001,Kensington Publishing Corporation
10121,0345331397,"I, Robot",Isaac Asimov,1989,Del Rey Books
10172,0451137965,Thinner,Stephen King,1985,New Amer Library
10175,0425128164,The Voice of the Night,Dean R. Koontz,1996,Berkley Publishing Group
10176,0425107469,Watchers,Dean R. Koontz,1996,Berkley Publishing Group
10177,0451162145,Koko,Peter Straub,1995,Signet Book
10178,042510687X,Outbreak,Robin Cook,1991,Berkley Publishing Group
10180,0440198577,When the Wind Blows,John Saul,0,Bantam Doubleday Dell
10184,0553573616,My Point...And I Do Have One,ELLEN DEGENERES,1996,Bantam
10186,0515129941,The Cat Who Robbed a Bank (Cat Who... (Paperback)),Lilian Jackson Braun,2001,Jove Books
10200,0671002031,Temptation,Jude Deveraux,2000,Atria
10205,0142000221,Cause Celeb,Helen Fielding,2002,Penguin Books
10222,0440204208,Blood Shot (V.I. Warshawski Novels (Paperback)),Sara Paretsky,1989,Dell
10257,0345410017,Fahrenheit 451,RAY BRADBURY,1996,Ballantine Books
10296,0786861347,Don't Stand Too Close to a Naked Man,Tim Allen,1994,Hyperion Books
10300,0425105334,The Talisman,Stephen King,1991,Berkley Publishing Group
10302,0553580191,Seize the Night,DEAN KOONTZ,1999,Bantam
10320,0375758232,Paris to the Moon,Adam Gopnik,2001,Random House Trade
10324,0451172817,Needful Things,Stephen King,2004,Signet Book
10325,0671886665,A Cry In The Night,Mary Higgins Clark,1993,Pocket
10326,0440487617,A Wind in the Door,Madeleine L'Engle,1974,Yearling Books
10428,0425130711,Cold Fire,Dean R. Koontz,1996,Berkley Publishing Group
10437,0385317093,Granny Dan,DANIELLE STEEL,1999,Delacorte Press
10439,080411868X,"Welcome to the World, Baby Girl!",Fannie Flagg,1999,Ballantine Books
10440,0439420105,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2002,Scholastic
10503,0425145638,Fatal Cure,Robin Cook,1997,Berkley Publishing Group
10504,140003065X,A Fine Balance,Rohinton Mistry,2001,Vintage Books USA
10510,0553260960,"The Mammoth Hunters (Auel, Jean M. , Earth's Children.)",Jean M. Auel,1986,Bantam Books
10511,0553801376,One Door Away from Heaven,Dean R. Koontz,2001,Bantam Books
10519,037582233X,Stargirl,JERRY SPINELLI,2002,Knopf Books for Young Readers
10528,0671028383,Grave Secrets,Kathy Reichs,2003,Pocket Star
10529,0671011367,Deja Dead,Kathy Reichs,1998,Pocket
10536,0671034057,Now You See Her,Linda Howard,1999,Pocket Books
10543,0671027573,Mr. Perfect,Linda Howard,2001,Pocket Star
10550,0553569910,The Ugly Duckling,Iris Johansen,1997,Bantam Books
10567,0553578685,The Third Victim,LISA GARDNER,2001,Bantam
10571,0553574639,The Main Corpse (Culinary Mysteries (Paperback)),Diane Mott Davidson,1997,Bantam Books
10572,0060512822,The Poisonwood Bible,Barbara Kingsolver,2003,HarperTorch
10587,0312989393,Queen Bee of Mimosa Branch,Haywood Smith,2003,St. Martin's Paperbacks
10606,0312135866,The Persian Pickle Club,Sandra Dallas,1995,St Martins Pr
10615,0060391626,I Know This Much Is True (Oprah's Book Club),Wally Lamb,1998,Regan Books
10622,0345409329,"Blood and Gold (Rice, Anne, Vampire Chronicles.)",Anne Rice,2002,Ballantine Books
10630,0446519790,Unspeakable,Sandra Brown,1998,Replica Books
10642,044011585X,Crossings,DANIELLE STEEL,1987,Dell
10643,0440200563,Fine Things,Danielle Steel,1988,Dell
10646,0425080021,Dune,Frank Herbert,1984,Berkley Publishing Group
10647,0425085325,The Vision,Dean R. Koontz,1995,Berkley Publishing Group
10660,0671743058,Boy's Life,Robert McCammon,1992,Pocket
10661,0048231398,The Silmarillion,J. R. R Tolkien,1977,Allen &amp; Unwin
10710,0553278002,The Icarus Agenda,Robert Ludlum,1989,Bantam Books
10714,080411109X,The Hundred Secret Senses,Amy Tan,1996,Ivy Books
10715,0425081818,The Talisman,Stephen King,1985,Berkley Publishing Group
10740,0553213172,Anne of the Island,Lucy Maud Montgomery,1983,Bantam Classics
10750,0060931418,Their Eyes Were Watching God,Zora Neale Hurston,1998,Perennial
10760,0449204324,Blue Highways a Journey Into America,William Least Heat-Moon,1983,Ballantine Books
10802,0743448642,Whispers and Lies,Joy Fielding,2003,Pocket Books
10811,0821769367,The Night Before,Lisa Jackson,2003,Zebra Books
10850,0515132136,The Jury,Steve Martini,2002,Jove Books
10860,0805036504,N Is for Noose (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,1998,Henry Holt &amp; Company
10912,0425177351,Bio-Strike (Tom Clancy's Power Plays (Paperback)),Jerome Preisler,2000,Berkley Publishing Group
10917,0312974256,Welcome to Temptation,Jennifer Crusie,2001,St. Martin's Paperbacks
10925,0141439556,Wuthering Heights (Penguin Classics),Emily Bronte,2003,Penguin Books
10926,0679425268,Sole Survivor,DEAN KOONTZ,1997,Knopf
10927,0446608815,Pop Goes the Weasel,James Patterson,2000,Warner Vision
10928,0515128546,Tears of the Moon (Irish Trilogy),Nora Roberts,2000,Jove Books
10936,0399149392,Chesapeake Blue (Quinn Brothers (Hardcover)),Nora Roberts,2002,Putnam Publishing Group
10938,0385413041,Beach Music,PAT CONROY,1995,Nan A. Talese
10946,0316769495,Franny and Zooey,J.D. Salinger,1991,"Little, Brown"
10949,0670880728,Bridget Jones's Diary,Helen Fielding,1998,Viking Books
10950,0385472943,The Runaway Jury,JOHN GRISHAM,1996,Doubleday
10952,0142003727,Revenge of the Middle-Aged Woman,Elizabeth Buchan,2003,Penguin USA (Paper)
10964,0553801341,From the Corner of His Eye,Dean R. Koontz,2000,Bantam Books
10967,0345389425,Violin,Anne Rice,1998,Ballantine Books
10969,0345422317,The Genesis Code,John Case,1998,Ballantine Books
10977,0451142934,Skeleton Crew,Stephen King,1986,New Amer Library
10996,0440173922,The Ring,Danielle Steel,1983,Dell
10997,0061031992,A Theory of Relativity,Jacquelyn Mitchard,2002,HarperTorch
11007,0764226770,Coming Home,David Lewis,2004,Bethany House Publishers
11024,0425104346,Darkfall,Dean R. Koontz,1996,Berkley Publishing Group
11053,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
11054,0375500995,What We Keep,ELIZABETH BERG,1998,Random House
11056,0425168468,Practical Magic,Alice Hoffman,1998,Berkley Publishing Group
11057,0553227467,Red Dragon,Thomas Harris,1982,Bantam Books
11062,0515130966,Riptide,Catherine Coulter,2001,Jove Books
11083,0618129014,The Lord of the Rings (Movie Art Cover),J. R. R. Tolkien,2001,Houghton Mifflin Company
11098,0425092917,The Accidental Tourist,Anne Tyler,1994,Berkley Publishing Group
11102,0451173317,"The Waste Lands (The Dark Tower, Book 3)",Stephen King,1997,Signet Book
11103,0451160525,"The Gunslinger (The Dark Tower, Book 1)",Stephen King,1994,New American Library
11120,0553210211,Wuthering Heights,Emily Bronte,1981,Bantam Books
11122,0553560441,The Road to Omaha,Robert Ludlum,1993,Bantam Books
11128,0449217264,Alaska,James A. Michener,1994,Fawcett Books
11129,0345298349,Gorky Park,Martin Cruz Smith,1993,Ballantine Books
11145,0425195473,Remember When,Nora Roberts,2004,Berkley Publishing Group
11171,0140276904,Jemima J,Jane Green,0,Penguin Putnam~trade
11174,3404148665,Illuminati.,Dan Brown,2003,LÃ?Â¼bbe
11187,0060739495,Walk Two Moons,Sharon Creech,2004,HarperTrophy
11190,006073941X,Bridge to Terabithia,Katherine Paterson,2004,HarperTrophy
11223,0553800949,Final Target,Iris Johansen,2001,Bantam Books
11250,0345418271,Foucault's Pendulum,Umberto Eco,1997,Ballantine Books
11254,0312955006,The Concrete Blonde (A Harry Bosch Novel),Michael Connelly,1995,St. Martin's Paperbacks
11263,0679723110,Grendel,John Champlin Gardner,1989,Vintage Books USA
11281,0060936231,Soul Mountain,Gao Xingjian,2001,Perennial
11306,0446675059,The Honk and Holler Opening Soon,Billie Letts,1999,Warner Books
11309,0375411550,The Bluest Eye,Toni Morrison,2000,Knopf
